prime_recipient,award_amount,sub_recipient,address1,address2,address3,city,state,zip,county,district,award_number,award_type,award_description,sub_award,spent_to_date,project_description,project_status,spending_category,category_description
AFOGNAK NATIVE CORPORATION,19279459.07,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,19279459.07,,,,,
"AFOGNAK, NATIVE VILLAGE OF",671064.57,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,226196.31,,,,,
AGDAAGUX TRIBE OF KING COVE,1036534.52,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1036534.52,,,,,
"AHTNA, INCORPORATED",11692495.23,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,11692495.23,,,,,
"AKHIOK-KAGUYAK, INC.",159231.08,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,159231.08,,,,,
AKIACHAK NATIVE COMMUNITY,2618242.45,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2618242.45,,,,,
AKIAK NATIVE COMMUNITY,1569564.44,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1569564.44,,,,,
"AKUTAN CORP, THE",157477.92,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,157477.92,,,,,
AKUTAN TRADITIONAL COUNCIL,209210.8,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,209210.8,,,,,
ALASKA PENINSULA CORPORATION,197571.98,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,197571.98,,,,,
ALEUT COMMUNITY OF SAINT GEORGE ISLAND,795912.78,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,91225.25,,,,,
ALEUT COMMUNITY OF SAINT PAUL ISLAND,2009558.91,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2009558.91,,,,,
"ALEUT CORPORATION, THE",4692668.78,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,4692668.78,,,,,
ALGAACIQ NATIVE VILLAGE,1482611.13,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,42097.15,,,,,
ALUTIIQ TRIBE OF OLD HARBOR,739862.0,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,0.0,,,,,
ANGOON COMMUNITY ASSOCIATION,1131754.69,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1131754.69,,,,,
ARCTIC SLOPE REGIONAL CORPORATION,63342094.18,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,63342094.18,,,,,
ARCTIC VILLAGE,959513.02,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,586391.02,,,,,
ASA'CARSARMIUT TRIBE,3049621.96,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,3049621.96,,,,,
"ATKA, NATIVE VILLAGE OF",191984.43,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,0.0,,,,,
"AZACHOROK, INC.",165485.19,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,165485.19,,,,,
BERING STRAITS NATIVE CORPORATION,14970648.07,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,14970648.07,,,,,
BETHEL NATIVE CORPORATION,596724.19,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,596724.19,,,,,
BRISTOL BAY NATIVE CORPORATION,16974672.42,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,16890843.21,,,,,
CALISTA CORPORATION,12201386.32,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,11115982.56,,,,,
CAPE FOX CORPORATION,3424775.95,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,3424775.95,,,,,
CENTRAL COUNCIL TLINGIT AND HAIDA INDIAN,31602700.28,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,30138237.66,,,,,
CHALKYITSIK VILLAGE,285743.91,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,285743.91,,,,,
CHEESH'NA TRIBE,198207.07,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,198207.07,,,,,
CHEFARNMUTE INC,302090.4,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,302090.4,,,,,
CHICKALOON NATIVE VILLAGE,2013365.97,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1826978.24,,,,,
CHIGNIK BAY TRIBAL COUNCIL,548254.29,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,548254.29,,,,,
"CHIGNIK LAGOON, NATIVE VILLAGE OF",363576.77,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,363576.77,,,,,
CHILKAT INDIAN VILLAGE,451306.04,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,451306.04,,,,,
CHILKOOT INDIAN ASSOCIATION,1226965.42,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1113783.15,,,,,
CHINIK ESKIMO COMMUNITY,606723.2,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,499380.8,,,,,
CHITINA NATIVE CORPORATION,186158.31,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,183060.78,,,,,
CHOGGIUNG LTD.,1467884.96,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1446121.97,,,,,
"CHUATHBALUK, NATIVE VILLAGE OF",467735.56,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,343228.59,,,,,
CHUGACH ALASKA CORPORATION,24714318.36,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,23714598.9,,,,,
CHULOONAWICK NATIVE VILLAGE,271477.7,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,163186.7,,,,,
CIRCLE NATIVE COMMUNITY,324289.56,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,324289.56,,,,,
"CLARKS POINT, VILLAGE OF",235351.27,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,235351.27,,,,,
"COOK INLET REGION, INC.",111829268.3,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,111829268.3,,,,,
CRAIG TRIBAL ASSOCIATION,1467117.47,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1467117.47,,,,,
CROOKED CREEK TRADITIONAL COUNCIL,393613.06,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,393613.06,,,,,
CURYUNG TRIBAL COUNCIL,4602349.3,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,4594650.19,,,,,
DOUGLAS INDIAN ASSOCIATION,2574664.8,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2569322.64,,,,,
"DOYON, LIMITED",30937595.07,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,30648467.84,,,,,
EGEGIK VILLAGE,463754.16,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,35000.00006,,,,,
EKLUTNA NATIVE VILLAGE,535722.12,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,535722.1201,,,,,
"EKLUTNA, INC.",321500.06,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,321500.06,,,,,
EMMONAK CORPORATION,211208.58,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,211208.58,,,,,
EMMONAK VILLAGE,2794145.03,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2742454.15,,,,,
"ENGLISH BAY CORPORATION, THE",179961.58,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,179961.58,,,,,
EVANSVILLE VILLAGE (AKA BETTLES FIELD),232673.61,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,232673.61,,,,,
"EYAK CORPORATION, THE",967457.34,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,861624.47,,,,,
"FAR WEST, INC.",188152.36,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,188152.36,,,,,
GALENA VILLAGE,1159159.04,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1109166.24,,,,,
"GANA-A' YOO, LIMITED",2239353.51,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1983944.66,,,,,
"GOLDBELT, INCORPORATED",11122220.36,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,11122220.36,,,,,
GULKANA VILLAGE COUNCIL,492983.89,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,492983.89,,,,,
HAIDA CORPORATION,154547.52,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,154547.52,,,,,
HEALY LAKE VILLAGE,162145.17,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,162145.17,,,,,
HOLY CROSS TRIBE,686174.69,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,662367.88,,,,,
HOONAH INDIAN ASSOCIATION,1441313.2,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1441313.2,,,,,
HUGHES VILLAGE COUNCIL,2621060.4,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2621060.4,,,,,
HUNA TOTEM CORPORATION,1088232.21,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1088232.21,,,,,
HUSLIA VILLAGE,971484.72,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,971484.7201,,,,,
HYDABURG COOPERATIVE ASSOCIATION,1363984.36,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1313794.0,,,,,
IGIUGIG VILLAGE,379867.25,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,379867.25,,,,,
"ILIAMNA, VILLAGE OF",266408.97,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,266408.97,,,,,
INUPIAT COMMUNITY OF THE ARCTIC SLOPE,451520.03,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,451520.03,,,,,
IQFIJOUAQ COMPANY,160113.88,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,160113.88,,,,,
