State,Prime recipient,Prime recipient amount,Number of sub-recipients,Sub-award amount
,TRIBAL GOVERNMENTS NOT DISPLAYED,,0,
CA,"TREASURER, CALIFORNIA STATE",9525564744.0,2966,9525564743.613882
TX,"GOVERNOR, TEXAS OFFICE OF THE",8038314291.0,1408,6494611870.606657
FL,"FINANCIAL SERVICES, FLORIDA DEPARTMENT OF",5855807380.0,718,5855807379.801435
NY,STATE OF NEW YORK,5135624853.0,269,5021607719.011718
PA,EXECUTIVE OFFICE OF THE COMMONWEALTH OF PENNSYLVANIA,3935169363.0,3271,3927032518.1023493
OH,EXECUTIVE OFFICE STATE OF OHIO,3754114827.0,4019,3559978520.5189056
NC,GOVERNOR'S OFFICE,3585391176.0,1500,3538064283.754153
IL,"EMERGENCY MANAGEMENT AGENCY, ILLINOIS",3518945366.0,4642,2896395052.8700433
GA,"PLANNING AND BUDGET, GEORGIA GOVERNOR'S OFFICE OF",3502871330.0,902,3469642105.8239636
VA,"COMMONWEALTH OF VIRGINIA, DEPARTMENT OF THE TREASURY",3109502836.0,1776,3033281956.8998322
MI,"TREASURY, MICHIGAN DEPARTMENT OF",3080689545.0,2019,2956777115.007592
MA,COMMONWEALTH OF MASSACHUSETTS,2460842294.0,1224,2162011423.1105137
IN,"INDIANA, STATE OF",2442177436.0,2133,2442177435.9430766
NJ,NEW JERSEY DEPARTMENT OF TREASURY,2393851157.0,884,2323885748.8142095
TN,"FINANCE AND ADMINISTRATION, TENNESSEE DEPARTMENT OF",2363433874.0,1655,2248493243.6003203
PR,PR TREASURY DEPARTMENT,2240625864.0,866,2119962738.7219775
WA,"FINANCIAL MANAGEMENT, WASHINGTON STATE OFFICE OF",2167079311.0,79,2167079311.2013464
MO,"MISSOURI, STATE OF",2083701913.0,1342,2083701912.9171476
WI,"ADMINISTRATION, WISCONSIN DEPARTMENT OF",1997294786.0,2211,1997294785.8253667
SC,SOUTH CAROLINA OFFICE OF STATE TREASURER,1905114601.0,366,1905114600.570797
MN,"MINNESOTA, STATE OF",1869920708.0,1539,1867581903.060949
AZ,EXECUTIVE OFFICE OF THE STATE OF ARIZONA,1856987708.0,750,1853980291.5617387
LA,"HOMELAND SECURITY & EMERGENCY PREPAREDNESS, LA GOVERNOR",1802619343.0,201,1802619342.6006808
AL,"FINANCE, ALABAMA DEPT OF",1786346250.0,717,1786346249.2724235
CO,"PERSONNEL AND ADMINISTRATION, COLORADO DEPARTMENT OF",1673849579.0,828,1673849578.5083196
MD,MARYLAND STATE DEPARTMENT OF EDUCATION,1653268271.0,2097,1653268271.387581
KY,"KENTUCKY, COMMONWEALTH OF",1598594564.0,761,1566476779.7023418
NY,"NEW YORK, CITY OF",1454710278.0,370,1129380516.422932
OR,"ADMINISTRATIVE SERVICES, OREGON DEPARTMENT OF",1388506837.0,1208,1318503526.30834
CT,"POLICY AND MANAGEMENT, CONNECTICUT STATE OFFICE OF",1382477973.0,1159,1088508409.3065002
OK,"TREASURER, OKLAHOMA STATE",1259072820.0,660,1259072819.7127554
AK,"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.00014,1174,1249999999.957359
ID,EXECUTIVE OFFICE OF THE STATE OF IDAHO,1250000000.00013,485,1168816048.44633
SD,"SOUTH DAKOTA, STATE OF",1250000000.00012,2053,1213637809.9997125
RI,"RHODE ISLAND AND PROVIDENCE PLANTATIONS, STATE OF",1250000000.00011,821,1245820099.1546166
ME,"MAINE, STATE OF",1250000000.0001,397,1221125538.3416026
MS,"FINANCE & ADMINISTRATION, MISSISSIPPI DEPT OF",1250000000.00009,743,1245295098.5652611
MT,"ADMINISTRATION, MONTANA DEPARTMENT OF",1250000000.00008,1043,1250000000.0199142
ND,"NORTH DAKOTA, STATE OF",1250000000.00007,1351,1202488877.448021
NH,STATE OF NEW HAMPSHIRE TREASURY,1250000000.00006,3696,1185009714.950466
WV,EXECUTIVE OFFICE STATE OF WEST VIRGINIA,1250000000.00005,175,1125254355.5024705
VT,"STATE TREASURER, VERMONT OFFICE OF THE",1250000000.00004,2982,1250000000.065377
AR,"FINANCE AND ADMINISTRATION, ARKANSAS DEPT OF",1250000000.00003,1687,1232124889.947789
WY,STATE OF WYOMING,1250000000.00002,307,1239182882.482063
IA,IOWA DEPARTMENT MANAGEMENT,1250000000.00001,877,1249999999.9931026
NE,EXECUTIVE OFFICE OF THE STATE OF NEBRASKA,1083865742.0,630,1082271923.3440855
NM,"FINANCE & ADMINISTRATION, NEW MEXICO DEPARTMENT OF",1067817494.0,212,1062692047.684423
CA,"LOS ANGELES, COUNTY OF",1057341432.0,265,974649589.681965
KS,EXECUTIVE OFFICE OF THE STATE OF KANSAS,1034052050.0,880,1034052049.5145278
UT,EXECUTIVE OFFICE OF THE STATE OF UTAH,934765676.9,1222,933976723.3980929
DE,STATE OF DELAWARE,927233331.2,1291,913677656.4866854
HI,EXECUTIVE OFFICE OF THE STATE OF HAWAII,862823978.8,184,862823978.8023301
NV,"PUBLIC SAFETY, NEVADA DEPARTMENT OF",836051100.2,140,794046661.8909616
AZ,"NAVAJO NATION TRIBAL GOVERNMENT, THE",714189631.0,116,674806858.95258
CA,CITY OF LOS ANGELES,694405323.8,122,694405323.8318079
CA,"ORANGE, COUNTY OF",554133765.0,309,554133764.9018131
DC,"DISTRICT OF COLUMBIA, GOVERNMENT OF",495138063.6,306,425130270.17539406
FL,"MIAMI-DADE, COUNTY OF",474085078.5,160,474085078.5039948
IL,"CHICAGO, CITY OF",470078037.6,95,421593073.65017873
CA,"RIVERSIDE, COUNTY OF",431091225.6,16,431091225.6000496
IL,"COOK, COUNTY OF",428597905.2,202,428597905.2011764
TX,"HARRIS, COUNTY OF",425942656.1,79,425942656.10058516
OK,THE CHEROKEE NATION,410906001.0,144,410906001.0124176
TX,"HOUSTON, CITY OF",404868873.4,199,404868873.40341073
AZ,"MARICOPA, COUNTY OF",398960913.5,251,398960913.50239
HI,"HONOLULU, CITY & COUNTY OF",387176021.2,156,387147015.0814285
CA,"SAN BERNARDINO, COUNTY OF",380408020.9,208,380408020.9038201
FL,"BROWARD, COUNTY OF",340744702.3,1,340744702.3
CA,COUNTY OF SAN DIEGO,334061822.1,189,334061822.10085356
DE,"NEW CASTLE, COUNTY OF",322766668.8,112,322766668.8012333
OK,"MUSCOGEE (CREEK) NATION, THE",312475369.0,113,269117873.96356696
NV,"CLARK, COUNTY OF",295004619.9,254,295004619.9013894
AZ,CITY OF PHOENIX,293320141.1,110,293320141.1019817
CA,"ALAMEDA, COUNTY OF",291634022.2,141,291634022.2011808
PA,"PHILADELPHIA, CITY OF",276406952.6,97,251299275.48250267
TX,"SAN ANTONIO, CITY OF",269983717.0,96,269983717.00173885
WA,"KING, COUNTY OF",261582611.2,220,261582611.20146564
FL,"PALM BEACH, COUNTY OF",261174822.8,125,261174822.8031094
NY,"SUFFOLK, COUNTY OF",257655487.8,7,257655487.79999998
FL,"HILLSBOROUGH, COUNTY OF",256847065.0,137,256847065.00287345
CA,"SAN DIEGO, CITY OF",248451019.6,24,248451019.60098198
FL,"ORANGE, COUNTY OF",243146629.0,127,243146628.50170153
TX,"DALLAS, COUNTY OF",239952372.7,116,222044594.09065866
TX,"DALLAS, CITY OF",234443127.6,126,234443127.6007753
MN,HENNEPIN COUNTY,220879842.0,153,220879842.00147378
MI,"OAKLAND, COUNTY OF",219438710.2,179,219438710.20282072
OK,CHICKASAW NATION,216335860.0,226,216335859.82181263
OH,"CUYAHOGA, COUNTY OF",215510539.8,124,215510539.80201215
PA,"ALLEGHENY, COUNTY OF",212190475.1,246,212190475.10480735
TX,TARRANT COUNTY TEXAS (INC),209816856.5,127,209816856.50167763
UT,"SALT LAKE, COUNTY OF",203603981.2,118,203603981.20094422
CA,"CONTRA COSTA , COUNTY OF",201281391.7,101,201281391.700332
OK,CHOCTAW NATION OF OKLAHOMA,200839625.0,77,200839624.98026526
VA,FAIRFAX COUNTY VIRGINIA,200235484.9,93,200235484.90297872
NC,"WAKE, COUNTY OF",193993721.2,141,193993721.20108673
MI,"WAYNE, COUNTY OF",188331621.0,23,188331621.0000827
MD,"MONTGOMERY COUNTY, MARYLAND",183336953.7,128,180953485.8440305
CA,"SACRAMENTO, COUNTY OF",181198725.2,13,181198725.20000002
CA,"SAN JOSE, CITY OF",178295348.0,80,177499714.59102336
MO,"ST LOUIS, COUNTY OF",173481105.8,218,173481105.80321014
TX,"COLLIN, COUNTY OF",171453156.4,76,171453156.40074143
TX,"AUSTIN, CITY OF",170811897.2,19,170811897.2003174
FL,"PINELLAS, COUNTY OF",170129283.4,66,170129283.40067026
NY,"WESTCHESTER, COUNTY OF",168822336.1,83,168822336.1007885
IN,CITY OF INDIANAPOLIS,168312120.7,54,168312120.70038635
FL,"JACKSONVILLE, CITY OF",167120861.8,77,148912129.39121336
NE,DOUGLAS COUNTY NEBRASKA,166134257.9,38,166134257.90015095
NJ,"BERGEN, COUNTY OF",162662060.4,138,162662060.40138716
GA,GWINNETT COUNTY GOVERNMENT,162161444.0,277,163368405.20516893
IL,"DU PAGE, COUNTY OF",161042597.5,135,161042597.5008497
NY,"ERIE, COUNTY OF",160306414.5,126,140107686.93126962
TX,"FORT WORTH, CITY OF",158715568.3,479,158715568.3071317
MD,"PRINCE GEORGES, COUNTY GOVERNMENT",158670549.3,351,158670549.30703995
CA,"SANTA CLARA, COUNTY OF",158099959.5,119,158099959.500319
WA,"PIERCE, COUNTY OF",157912031.3,188,157912031.30227834
CA,COUNTY OF KERN,157078307.2,318,157078307.20742404
OH,"COLUMBUS, CITY OF",156790569.4,170,156790569.40426055
NC,"CHARLOTTE, CITY OF",154549215.9,149,154549215.90151912
CA,"SAN FRANCISCO, CITY & COUNTY OF",153823502.5,14,153823502.50000003
MI,"MACOMB, COUNTY OF",152501374.4,82,152501374.40127218
TX,"HIDALGO, COUNTY OF",151582672.5,80,123854532.35216562
NM,"ALBUQUERQUE, CITY OF",150364461.1,66,150364461.10097027
FL,SEMINOLE TRIBE OF FLORIDA,149692293.0,30,148881309.2201889
TX,"DENTON, COUNTY OF",147733721.6,56,147733721.60063964
CA,COUNTY OF VENTURA,147621523.1,55,147621523.10015616
PA,"MONTGOMERY, COUNTY OF",144988260.0,45,99413386.3904976
MD,"BALTIMORE COUNTY, MARYLAND",144369684.8,66,140212130.9438655
NJ,"MIDDLESEX, COUNTY OF (INC)",143966956.6,57,143966956.60025254
WA,"SNOHOMISH, COUNTY OF",143447144.1,94,143203016.71096346
OH,COUNTY OF HAMILTON,142642734.6,187,142642734.60348153
NJ,"ESSEX, COUNTY OF",139414976.3,108,138014367.08034375
FL,"LEE, COUNTY OF",134459744.2,75,134459744.20063666
TX,"FORT BEND, COUNTY OF",134262393.5,52,134262393.50023162
NY,"HEMPSTEAD, TOWN OF",133832095.5,111,133832095.50167203
KY,LOUISVILLE-JEFFERSON COUNTY METRO GOVERNMENT,133793183.7,224,133793183.7082944
CA,"SAN MATEO, COUNTY OF",133761077.1,55,133619619.12106168
CA,"SAN JOAQUIN, COUNTY OF",132988948.7,61,132988948.70066248
GA,COUNTY OF COBB,132638742.7,16,132638742.7
WA,"SEATTLE, CITY OF",131510475.6,40,131510475.60013282
NY,"MONROE, COUNTY OF",129433144.9,76,129433144.90074964
CO,"DENVER, CITY & COUNTY OF",126892711.7,119,109950429.04281436
FL,POLK COUNTY,126467997.4,47,126467997.40036751
CO,"EL PASO, COUNTY OF",125704768.0,74,125704768.20059349
GA,"DEKALB, COUNTY OF",125341475.2,162,124264622.93375169
MO,JACKSON COUNTY,122669998.3,72,121379028.00094843
IL,"LAKE, COUNTY OF",121539986.2,163,121539986.19076574
TN,"NASHVILLE & DAVIDSON COUNTY, METROPOLITAN GOVERNMENT OF",121122775.2,79,121122775.00063637
MA,"BOSTON, CITY OF",120853359.1,80,120853359.10108635
IL,WILL COUNTY,120529326.9,93,120529326.90045556
TX,"EL PASO, CITY OF",118956278.9,94,118956278.90110594
NV,"LAS VEGAS, CITY OF",118944279.9,5,118944279.90009168
GU,GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,117968257.8,8,117968257.80014984
NJ,COUNTY OF HUDSON,117327044.4,46,117327044.40019535
MI,"DETROIT, CITY OF",116915242.6,7,114606359.45018232
KS,"JOHNSON, COUNTY OF",116311033.6,93,116311033.60107583
AL,"JEFFERSON COUNTY, ALABAMA",114915910.0,112,114915910.00048813
MI,KENT COUNTY,114633581.4,155,114633581.40308343
CO,"ARAPAHOE, COUNTY OF",114569891.7,64,114569891.70040715
OK,"OKLAHOMA CITY, CITY OF",114302395.1,43,113137661.91049188
OR,"PORTLAND, CITY OF",114247255.5,47,114247255.50049838
OK,COUNTY OF TULSA,113690799.6,54,113690799.60023125
TN,"MEMPHIS, CITY OF",113607217.8,40,113607217.8006567
AK,"COOK INLET REGION, INC.",111829268.0,6,111829268.28002013
UT,"UTAH, COUNTY OF",111630341.9,41,111630341.90014097
PA,"BUCKS, THE COUNTY OF",109628270.1,89,109628270.10063344
NJ,"MONMOUTH, COUNTY OF",107974955.7,100,107974955.70044293
NJ,"OCEAN, COUNTY OF",105949274.7,93,80831452.33027442
FL,"BREVARD, COUNTY OF",105034237.2,70,105034237.20061341
TX,"MONTGOMERY, COUNTY OF",104983285.0,30,104983285.40029272
OR,"WASHINGTON, COUNTY OF",104660474.7,82,104660474.70069137
GA,"FULTON COUNTY, GEORGIA",104364186.8,138,104364186.80249901
MD,"BALTIMORE, CITY OF",103559428.3,56,103559428.30083477
WI,"MILWAUKEE, CITY OF",102977845.5,11,102977845.50018607
NY,"NASSAU, COUNTY OF",102940678.7,2,102940678.7
CO,"JEFFERSON, COUNTY OF",101708239.7,101,101708239.70091435
MD,"ANNE ARUNDEL, COUNTY OF",101071866.3,53,101071866.30080406
KS,COUNTY OF SEDGWICK,99636916.9,109,99636916.90050294
PA,"DELAWARE COUNTY, PENNSYLVANIA",98892981.1,50,98892981.10043879
AZ,GILA RIVER INDIAN COMMUNITY,97327408.53,15,97327408.53014874
NJ,"UNION, COUNTY OF",97077214.3,95,97077214.30051753
FL,"PASCO, COUNTY OF",96659479.8,31,96659479.80045941
FL,COUNTY OF VOLUSIA,96543791.4,52,96543791.40012856
CA,"STANISLAUS, COUNTY OF",96085923.6,49,73890033.76093413
MN,"RAMSEY, COUNTY OF",96026770.7,145,96026770.70056355
AZ,CITY OF TUCSON,95634512.1,68,95634512.10019656
WI,"DANE, COUNTY OF",95394061.7,61,95394061.70070995
PA,"LANCASTER, COUNTY OF",95224629.7,19,95224629.70001893
OH,"SUMMIT, COUNTY OF",94402596.5,66,94402596.5008417
NC,"GUILFORD, COUNTY OF",93732720.6,50,93732720.60087745
TX,"WILLIAMSON, COUNTY OF",93382340.1,68,90765187.59049724
AZ,HOPI TRIBE,92996823.39,57,91909717.40023752
IL,"KANE, COUNTY OF",92900217.9,100,92900217.90061216
OH,"MONTGOMERY, COUNTY OF",92775281.0,115,92767042.09335627
CA,"FRESNO, CITY OF",92755912.8,32,91758450.06053156
PA,"CHESTER, COUNTY OF",91606532.1,62,91606532.10133173
SC,"GREENVILLE, COUNTY OF",91354041.7,63,91354041.70053102
WA,COUNTY OF SPOKANE,91224219.5,76,90811561.72091225
MA,"PLYMOUTH, COUNTY OF, INC.",90945729.8,29,73875767.61000003
AZ,"MESA, CITY OF",90389099.4,17,90389099.40048917
CO,"ADAMS, COUNTY OF",90285974.4,57,90285974.40022174
CA,"SACRAMENTO, CITY OF",89623427.2,124,89623427.20215447
GA,"ATLANTA, CITY OF",88434611.3,30,88434604.7102257
NJ,"CAMDEN, COUNTY OF",88375283.9,65,88375283.9002291
NJ,COUNTY OF PASSAIC GOVERNMENT OFFICE,87564767.2,67,87564767.20027596
AZ,PIMA COUNTY,87107597.4,46,85107597.40016726
CA,"FRESNO, COUNTY OF",81579507.2,72,81579507.2002587
TX,"BEXAR, COUNTY OF",79626415.0,62,79626415.00076956
OH,FRANKLIN COUNTY BOARD OF COMMISSIONERS,76336362.9,57,76336362.90099566
WA,"CONFEDERATED TRIBES AND BANDS OF THE YAKAMA NATION, THE",75097394.22,12,74894013.0100299
VI,GOVERNMENT OF THE US VIRGIN ISLANDS,74809977.6,2,53674614.0
CT,MOHEGAN TRIBE OF INDIANS OF CONNECTICUT,68558263.88,21,68558263.88008793
SD,OGLALA SIOUX TRIBE OF PINE RIDGE INDIAN RESERVATION,66491701.61,21,66491701.61006604
WI,HO-CHUNK NATION,65504715.2,19,65070832.02013849
OK,CHEYENNE & ARAPAHO TRIBES,63398398.31,47,63201609.270466335
AK,ARCTIC SLOPE REGIONAL CORPORATION,63342094.18,16,63342094.180155426
NC,EASTERN BAND OF CHEROKEE INDIANS,62914808.29,27,62914808.29055414
OK,CITIZEN POTAWATOMI NATION,62663179.23,8,62663179.23005077
WI,"MILWAUKEE COUNTY, WISCONSIN",62044048.6,45,62044048.60065151
MS,MISSISSIPPI BAND OF CHOCTAW INDIANS,61696900.51,19,61696900.51015351
WI,ONEIDA NATION,61445623.79,21,61445623.79021878
AZ,WHITE MOUNTAIN APACHE TRIBE,61356786.72,78,58721825.650520794
TX,"TRAVIS, COUNTY OF",61147507.2,76,61147507.20223388
AZ,"TOHONO O'ODHAM NATION, THE",61115397.55,16,61115397.550162934
WA,PUYALLUP TRIBE OF INDIANS,60909361.62,16,60909361.620036334
AZ,SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY EDUCATIONAL S,60445468.73,1,60445468.73
AZ,SAN CARLOS APACHE TRIBAL COUNCIL,57930808.65,6,57930808.650040954
AL,POARCH BAND OF CREEK INDIANS,57034473.06,5,57034473.06006757
ND,TURTLE MOUNTAIN BAND OF CHIPPEWA INDIANS,54827702.7,49,54827702.70020818
CT,MASHANTUCKET PEQUOT TRIBAL NATION,54402855.0,5,54402855.00007623
TN,"SHELBY, COUNTY OF",49921022.3,49,49921022.30111521
SD,ROSEBUD SIOUX TRIBE,47981544.22,77,47981544.22025126
NY,SENECA NATION OF INDIANS,47640832.53,12,47640832.530088134
MN,MILLE LACS BAND OF OJIBWE,47593561.46,15,47593561.46007275
OK,"OKLAHOMA, COUNTY OF",47291598.0,14,47291598.000104114
MI,SAULT SAINTE MARIE TRIBE OF CHIPPEWA INDIANS,47061145.69,25,47061145.69013356
MI,POKAGON BAND OF POTAWATOMI,47000715.74,18,47000715.740048245
MN,SHAKOPEE MDEWAKANTON SIOUX COMMUNITY,46507763.38,16,46507763.38028062
OK,OSAGE NATION,44933805.79,64,44933805.79046542
MT,CONFEDERATED SALISH AND KOOTENAI TRIBES,44404879.84,27,44404879.84044266
OR,CONFEDERATED TRIBES OF THE GRAND RONDE COMMUNITY OF ORE,44053275.68,14,44053275.68004305
WA,"CONFEDERATED TRIBES OF THE COLVILLE RESERVATION, THE",44011040.53,17,31913719.000156168
AZ,PASCUA YAQUI TRIBE,43800815.54,26,43800815.54030407
WA,THE TULALIP TRIBES OF WASHINGTON,43749554.94,8,43749554.940029785
CA,SAN MANUEL BAND OF MISSION INDIANS,42370797.56,2,42370797.56
MI,SAGINAW CHIPPEWA INDIAN TRIBE,41518356.87,4,41518356.870000005
CA,PECHANGA BAND OF LUISENO MISSION INDIANS,41242756.02,19,41242756.02016972
ND,THREE AFFILIATED TRIBES,41084427.76,3,16364447.229999999
WA,COWLITZ INDIAN TRIBE,40327377.96,2,40327377.96009584
CA,YUROK TRIBE,40181880.86,32,40181880.86021168
NC,"MECKLENBURG, COUNTY OF",39199343.6,62,38615641.480673514
OR,"CONFEDERATED TRIBES OF SILETZ INDIANS, THE",38806460.05,15,38806460.0500525
MT,BLACKFEET TRIBE OF THE BLACKFEET INDIAN RESERVATION,38692273.41,20,38692273.41015438
WA,LUMMI INDIAN BUSINESS COUNCIL,38567328.18,12,37844351.11025019
MN,LEECH LAKE RESERVATION BUSINESS COMMITTEE INC,36923608.09,19,36923608.09017048
MP,OFFICE OF THE GOVERNOR,36284217.7,17,36284217.700343005
MN,RED LAKE BAND OF CHIPPEWA INDIANS,36031249.29,49,35899540.670446314
OK,COMANCHE NATION,35827392.02,30,35827392.02018999
AS,AMERICAN SAMOA GOVERNMENT,35173619.5,33,35112230.63035568
NY,ONEIDA INDIAN NATION,34586727.95,10,34586727.95003525
MN,FOND DU LAC RESERVATION,34315424.46,88,34315424.46040386
OR,"KLAMATH TRIBES, THE",34190731.43,17,34190731.350191966
OK,ABSENTEE SHAWNEE TRIBE OF OKLAHOMA,33101482.3,28,33101482.300313983
AK,"NANA REGIONAL CORPORATION, INC.",32848638.26,4,31874845.000012375
WI,FOREST COUNTY POTAWATOMI COMMUNITY,32618157.48,22,32617744.900225133
MN,MINNESOTA CHIPPEWA TRIBE - WHITE EARTH BAND,32256927.82,17,32256927.820161656
NM,"BERNALILLO, COUNTY OF",31818045.2,36,31818045.200097162
AK,CENTRAL COUNCIL TLINGIT AND HAIDA INDIAN,31602700.28,37,30138237.660632376
NM,"ZUNI, PUEBLO OF",31466013.03,4,31466013.03
ND,STANDING ROCK SIOUX TRIBE,31372020.78,34,27289108.35020413
TX,YSLETA DEL SUR PUEBLO,31042585.67,62,31042585.670148496
AK,"DOYON, LIMITED",30937595.07,26,30648467.840504095
NE,PONCA TRIBE OF NEBRASKA,29855479.98,18,29855479.980060536
WA,MUCKLESHOOT INDIAN TRIBE,29563025.55,11,29563025.549999993
MT,FORT PECK ASSINIBOINE & SIOUX TRIBES,28870689.49,20,28870689.490026567
SD,CHEYENNE RIVER SIOUX TRIBE,28332362.95,12,28332362.950067084
CA,ROUND VALLEY INDIAN TRIBES,28311238.77,1,28311238.770000003
OR,"MULTNOMAH, COUNTY OF",28057836.5,56,28057836.50073722
TX,"EL PASO, COUNTY OF",27484280.0,46,27037987.980871007
MT,CROW TRIBE OF INDIANS,27268829.13,38,27268829.130478043
NY,SAINT REGIS MOHAWK TRIBE,26785859.97,18,26785859.970157027
WY,NORTHERN ARAPAHO TRIBE,26195944.53,1,26195944.53
CA,KARUK TRIBE,25862992.76,20,25862992.760045595
NM,"ISLETA, PUEBLO OF",25723012.34,9,25041537.600016464
MT,LITTLE SHELL TRIBE OF CHIPPEWA INDIANS OF MONTANA,25390507.63,23,25390503.880184837
CA,MORONGO BAND OF MISSION INDIANS,25380212.02,7,25380212.020052984
