prime_recipient,sub_recipient,Location info,county,Award number,Award type,awards,Money spent to date,To be spent
AFOGNAK NATIVE CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,19279459.07,,19279459.07
"AFOGNAK, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,226196.31,,226196.31
AGDAAGUX TRIBE OF KING COVE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1036534.52,,1036534.52
"AHTNA, INCORPORATED",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,11692495.23,,11692495.23
"AKHIOK-KAGUYAK, INC.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,159231.08,,159231.08
AKIACHAK NATIVE COMMUNITY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2618242.45,,2618242.45
AKIAK NATIVE COMMUNITY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1569564.44,,1569564.44
"AKUTAN CORP, THE",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,157477.92,,157477.92
AKUTAN TRADITIONAL COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,209210.8,,209210.8
ALASKA PENINSULA CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,197571.98,,197571.98
ALEUT COMMUNITY OF SAINT GEORGE ISLAND,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,91225.25,,91225.25
ALEUT COMMUNITY OF SAINT PAUL ISLAND,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2009558.91,,2009558.91
"ALEUT CORPORATION, THE",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,4692668.78,,4692668.78
ALGAACIQ NATIVE VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,42097.15,,42097.15
ALUTIIQ TRIBE OF OLD HARBOR,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,0,,0
ANGOON COMMUNITY ASSOCIATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1131754.69,,1131754.69
ARCTIC SLOPE REGIONAL CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,63342094.18,,63342094.18
ARCTIC VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,586391.02,,586391.02
ASA'CARSARMIUT TRIBE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,3049621.96,,3049621.96
"ATKA, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,0,,0
"AZACHOROK, INC.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,165485.19,,165485.19
BERING STRAITS NATIVE CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,14970648.07,,14970648.07
BETHEL NATIVE CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,596724.19,,596724.19
BRISTOL BAY NATIVE CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,16890843.21,,16890843.21
CALISTA CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,11115982.56,,11115982.56
CAPE FOX CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,3424775.95,,3424775.95
CENTRAL COUNCIL TLINGIT AND HAIDA INDIAN,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,30138237.66,,30138237.66
CHALKYITSIK VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,285743.91,,285743.91
CHEESH'NA TRIBE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,198207.07,,198207.07
CHEFARNMUTE INC,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,302090.4,,302090.4
CHICKALOON NATIVE VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1826978.24,,1826978.24
CHIGNIK BAY TRIBAL COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,548254.29,,548254.29
"CHIGNIK LAGOON, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,363576.77,,363576.77
CHILKAT INDIAN VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,451306.04,,451306.04
CHILKOOT INDIAN ASSOCIATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1113783.15,,1113783.15
CHINIK ESKIMO COMMUNITY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,499380.8,,499380.8
CHITINA NATIVE CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,183060.78,,183060.78
CHOGGIUNG LTD.,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1446121.97,,1446121.97
"CHUATHBALUK, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,343228.59,,343228.59
CHUGACH ALASKA CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,23714598.9,,23714598.9
CHULOONAWICK NATIVE VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,163186.7,,163186.7
CIRCLE NATIVE COMMUNITY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,324289.56,,324289.56
"CLARKS POINT, VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,235351.27,,235351.27
"COOK INLET REGION, INC.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,111829268.3,,111829268.3
CRAIG TRIBAL ASSOCIATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1467117.47,,1467117.47
CROOKED CREEK TRADITIONAL COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,393613.06,,393613.06
CURYUNG TRIBAL COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,4594650.19,,4594650.19
DOUGLAS INDIAN ASSOCIATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2569322.64,,2569322.64
"DOYON, LIMITED",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,30648467.84,,30648467.84
EGEGIK VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,35000.00006,,35000
EKLUTNA NATIVE VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,535722.1201,,535722.12
"EKLUTNA, INC.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,321500.06,,321500.06
EMMONAK CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,211208.58,,211208.58
EMMONAK VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2742454.15,,2742454.15
"ENGLISH BAY CORPORATION, THE",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,179961.58,,179961.58
EVANSVILLE VILLAGE (AKA BETTLES FIELD),NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,232673.61,,232673.61
"EYAK CORPORATION, THE",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,861624.47,,861624.47
"FAR WEST, INC.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,188152.36,,188152.36
