prime_recipient,sub_recipient,address,county,number,type,sub_amount,spent,tbs
"FINANCE, ALABAMA DEPT OF",10TH CIRCUIT PRESIDING JUDGE ADMINSTRATION FUND,716 Rich Arrington Blvd N ROOM 300 Birmingham AL 35203-0123,AL-JEFFERSON,,DIRECT,208253,208253,0
"FINANCE, ALABAMA DEPT OF",13TH CIRCUIT PRESIDING JUDGE'S JUDICIAL ADMIN FUND,PO BOX 296 Mobile AL 36601-0296,AL-MOBILE,,DIRECT,92178.63,92178.63,0
"FINANCE, ALABAMA DEPT OF","3 GENERATION FARMS, LLC",7020 County Road 10 Greensboro AL 36744-5663,AL-HALE,174,GRANT,52646.61,52646.61,0
"FINANCE, ALABAMA DEPT OF",4M INC,PO BOX 310489 Enterprise AL 36331-0489,AL-COFFEE,181,GRANT,87792,87792,0
"FINANCE, ALABAMA DEPT OF",5TH CIRCUIT PRESIDING JUDGES FUND,395 Lee St Alexander City AL 35010-2708,AL-TALLAPOOSA,,DIRECT,64054.36,64054.36,0
"FINANCE, ALABAMA DEPT OF",ABBOTT LABORATORIES INC,200 ABBOTT PARK RD ABBOTT PARK IL 60064-3503,IL-LAKE,,DIRECT,72150.00004,72150,0
"FINANCE, ALABAMA DEPT OF",ABEL HEALTHCARE ENTERPRISES LLC,1500 1st Ave N Unit 72 Birmingham AL 35203-1604,AL-JEFFERSON,,DIRECT,240000,240000,0
"FINANCE, ALABAMA DEPT OF",ABEL HEALTHCARE ENTERPRISES LLC,1500 1st Ave N Unit 72 Birmingham AL 35203-1604,AL-JEFFERSON,170,GRANT,1008900,1008900,0
"FINANCE, ALABAMA DEPT OF",ABILITY ALLIANCE OF WEST ALABAMA,1002 Mcfarland Blvd Ste K Northport AL 35476-3350,AL-TUSCALOOSA,250,GRANT,72029.45,72029.45,0
"FINANCE, ALABAMA DEPT OF",ABILITY PLUS INC,100 Jetplex Blvd SW Huntsville AL 35824-2216,AL-MADISON,251,GRANT,185642.81,185642.81,0
"FINANCE, ALABAMA DEPT OF",ACCLINATE LLC,600 Boulevard South SW Ste 104A Huntsville AL 35802-2175,AL-MADISON,167,GRANT,260000,260000,0
"FINANCE, ALABAMA DEPT OF","ADANI SYSTEMS, INC.",901 N PITT STE 325 ALEXANDRIA VA 22314-1549,VA-ALEXANDRIA,,DIRECT,5201127.04,5201127.04,0
"FINANCE, ALABAMA DEPT OF",ADDICTION & MENTAL HEALTH SERVICES LLC,2101 Magnolia Ave S Ste 518 Birmingham AL 35205-2853,AL-JEFFERSON,492,GRANT,50198.77,50198.77,0
"FINANCE, ALABAMA DEPT OF",ADMINISTRATIVE OFFICE OF COURT,300 Dexter Ave Montgomery AL 36104-3741,AL-MONTGOMERY,,DIRECT,179613.86,179613.86,0
"FINANCE, ALABAMA DEPT OF",AGRICULTURE AND INDUSTRIES,1445 Federal Dr Montgomery AL 36107-1123,AL-MONTGOMERY,,DIRECT,225192.16,225192.16,0
"FINANCE, ALABAMA DEPT OF",AIDB,PO BOX 698 Talladega AL 35161-0698,AL-TALLADEGA,,DIRECT,82776.34,82776.34,0
"FINANCE, ALABAMA DEPT OF",AIR CLEANSE TECHNOLOGIES LLC,4801 Glenwood Ave Ste 200 Raleigh NC 27612-3857,NC-WAKE,,DIRECT,332462.5,332462.5,0
"FINANCE, ALABAMA DEPT OF",AL FORESTRY COMMISSION,PO BOX 302550 Montgomery AL 36130-2550,AL-MONTGOMERY,,DIRECT,235874.81,235874.81,0
"FINANCE, ALABAMA DEPT OF",ALA IND DEV TRAINING INST,1 Technology Ct Montgomery AL 36116-3200,AL-MONTGOMERY,,DIRECT,88911.06,88911.06,0
"FINANCE, ALABAMA DEPT OF",ALABAMA A & M UNIVERSITY,4900 Meridian St NW Normal AL 35762-7500,AL-MADISON,159,GRANT,3350743.75,3350743.75,0
"FINANCE, ALABAMA DEPT OF",ALABAMA CATFISH LLC,730 Energy Center Blvd Ste 1402E Northport AL 35473-5814,AL-TUSCALOOSA,183,GRANT,159144.96,159144.96,0
"FINANCE, ALABAMA DEPT OF","ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE, INC., THE",445 Health Sciences Blvd Dothan AL 36303-6904,AL-HOUSTON,493,GRANT,240514.03,240514.03,0
"FINANCE, ALABAMA DEPT OF",ALABAMA COMMUNITY COLLEGE SYSTEM,135 S Union St Montgomery AL 36130-2100,AL-MONTGOMERY,107,GRANT,31549079.34,31549079.34,0
"FINANCE, ALABAMA DEPT OF","ALABAMA CONSTRUCTION SUPPLY CO., INC.",4900 5TH AVE S BIRMINGHAM AL 35222-2225,AL-JEFFERSON,,DIRECT,7556317.52,7556317.52,0
"FINANCE, ALABAMA DEPT OF",ALABAMA FIRE COLLEGE AND PERSONNEL STANDARDS COMMISSION,2501 PHOENIX DR TUSCALOOSA AL 35405-8546,AL-TUSCALOOSA,,DIRECT,341006.54,341006.54,0
"FINANCE, ALABAMA DEPT OF",ALABAMA FOOD BANK ASSOCIATION,PO BOX 18607 Huntsville AL 35804-8607,AL-MADISON,265,GRANT,3606104.12,3606104.12,0
"FINANCE, ALABAMA DEPT OF",ALABAMA HOSPITAL ASSOCIATION,500 N Eastern Blvd Montgomery AL 36117-2214,AL-MONTGOMERY,61,GRANT,50146195.85,50146195.85,0
"FINANCE, ALABAMA DEPT OF","ALABAMA INDUSTRIAL SUPPLIES & SERVICES, LLC",3648 VANN RD BIRMINGHAM AL 35235-3273,AL-JEFFERSON,,DIRECT,122816.92,122816.92,0
"FINANCE, ALABAMA DEPT OF",ALABAMA INSTITUTE FOR DEAF AND BLIN,205 South St E Talladega AL 35160-2411,AL-TALLADEGA,266,GRANT,255347,255347,0
"FINANCE, ALABAMA DEPT OF",ALABAMA INTERACTIVE LLC,PO BOX 934357 Atlanta GA 31193-4357,GA-FULTON,,DIRECT,2855093.34,2855093.34,0
"FINANCE, ALABAMA DEPT OF",ALABAMA JUDICIAL COLLEGE EDUCATION,300 Dexter Ave Montgomery AL 36104-3741,AL-MONTGOMERY,,DIRECT,74750.00004,74750,0
"FINANCE, ALABAMA DEPT OF",ALABAMA SCHOOL OF CYBER TECHNOLOGY AND ENGINEERING,490 Discovery Dr NW Huntsville AL 35806-2902,AL-MADISON,267,GRANT,217915.89,217915.89,0
"FINANCE, ALABAMA DEPT OF",ALABAMA SCHOOL OF FINE ARTS,1800 Reverend Abraham Woods Jr Blvd Birmingham AL 35203-2203,AL-JEFFERSON,372,GRANT,90579.39,90579.39,0
"FINANCE, ALABAMA DEPT OF",ALABAMA SCHOOL OF MATH & SCIENCE,1255 Dauphin St Mobile AL 36604-2519,AL-MOBILE,371,GRANT,121637.1,121637.1,0
"FINANCE, ALABAMA DEPT OF",ALABAMA SPACE SCIENCE EXHIBIT COMMISSION,1 TRANQUILITY BASE HUNTSVILLE AL 35805-3371,AL-MADISON,,DIRECT,135244.94,135244.94,0
"FINANCE, ALABAMA DEPT OF",ALABAMA STATE BOARD OF PHARMACY,111 Village St Birmingham AL 35242-6477,AL-SHELBY,,DIRECT,60454.32,60454.32,0
"FINANCE, ALABAMA DEPT OF",ALABAMA STATE UNIVERSITY (INC),915 S JACKSON ST MONTGOMERY AL 36104-5732,AL-MONTGOMERY,,DIRECT,72629.02,72629.02,0
"FINANCE, ALABAMA DEPT OF",ALABAMA STATE UNIVERSITY (INC),915 S Jackson St Montgomery AL 36104-5732,AL-MONTGOMERY,160,GRANT,3022903.14,3022903.14,0
"FINANCE, ALABAMA DEPT OF",ALABAMA SUPREME COURT,300 Dexter Ave Montgomery AL 36104-3741,AL-MONTGOMERY,,DIRECT,113229.54,113229.54,0
"FINANCE, ALABAMA DEPT OF","ALABASTER, CITY OF",1953 Municipal Way Alabaster AL 35007-9603,AL-SHELBY,117,GRANT,1370736.01,1370736.01,0
"FINANCE, ALABAMA DEPT OF","ALBERTVILLE, CITY OF",116 W Main St Albertville AL 35950-1626,AL-MARSHALL,9,GRANT,1049894.28,1049894.28,0
"FINANCE, ALABAMA DEPT OF",ALETHEIA HOUSE INC,PO BOX 1514 Birmingham AL 35201-1514,AL-JEFFERSON,252,GRANT,93197.57,93197.57,0
"FINANCE, ALABAMA DEPT OF","ALTAPOINTE HEALTH SYSTEMS, INC.",5750-A SOUTHLAND DR MOBILE AL 36693-3316,AL-MOBILE,,DIRECT,4809000.41,4809000.41,0
"FINANCE, ALABAMA DEPT OF","ALTAPOINTE HEALTH SYSTEMS, INC.",5750A Southland Dr Mobile AL 36693-3316,AL-MOBILE,109,GRANT,55880.64,55880.64,0
"FINANCE, ALABAMA DEPT OF",ANAYELI SERRANO,2203 Meridian St N Huntsville AL 35811-1894,AL-MADISON,182,GRANT,50000.00006,50000,0
"FINANCE, ALABAMA DEPT OF",ANDALUSIA CITY BOARD OF EDUCATION,1201 C C Baker Ave Andalusia AL 36421-2101,AL-COVINGTON,273,GRANT,531247,531247,0
"FINANCE, ALABAMA DEPT OF","ANDALUSIA, CITY OF",505 E Three Notch St Andalusia AL 36420-3129,AL-COVINGTON,402,GRANT,408300,408300,0
