state,institution,cares_act,omnibus,american_rescue_act,total_relief,endowment
AZ,Arizona State University,63533137,112906424,197920000,374359561,922000000
FL,Miami Dade College,49074737,100313671,175095000,324483408,486000000
FL,University Of Central Florida,51071250,88785992,155326000,295183242,162000000
PA,Pennsylvania State University (The),54994846,84967674,149782000,289744520,4000000000
NJ,"Rutgers, The State University Of New Jersey",54160640,83956947,147525000,285642587,1476000000
IN,Ivy Tech Community College Of Indiana,33040571,87521884,154176000,274738455,0
GA,Georgia State University,45243852,81991625,143227000,270462477,170800000
CA,"California State University, Northridge",44652328,74004088,128804000,247460416,119000000
FL,Florida International University,38301957,70899027,124068000,233268984,218700000
CA,"California State University, Fullerton",41021512,67736949,118108000,226866461,81700000
CA,"California State University, Long Beach",41729439,67421424,117424000,226574863,79400000
OH,Ohio State University (The),42885215,65158493,115136000,223179708,5290000000
TX,Texas A&M University,39816443,61084220,108020000,208920663,13514528000
CA,"California State University, Los Angeles",37914166,61905561,107504000,207323727,46200000
TX,University Of Houston,36703283,61804527,108166000,206673810,960000000
TX,Houston Community College,28294391,64722987,113378000,206395378,10200000
WA,University Of Washington - Seattle,39715956,59684404,105672000,205072360,6000000000
TX,Lone Star College System,28823255,63217876,111568000,203609131,0
CA,California State University - Sacramento,35734362,59891260,104257000,199882622,51200000
FL,University Of South Florida,34839748,58187541,102066000,195093289,532000000
TX,University Of Texas - Rio Grande Valley,34334258,58007276,100923000,193264534,46130000
FL,Valencia College,27682203,59512739,104037000,191231942,72500000
FL,Broward College,27154901,58986552,103056000,189197453,62200000
CA,"University Of California, Irvine",36731629,54737221,95771000,187239850,1030000000
CA,"University Of California, Los Angeles",35906870,52623807,92570000,181100677,5390000000
CA,"University Of California, San Diego",34889769,52015747,91170000,178075516,2300000000
NY,Cuny Borough Of Manhattan Community College,26420828,55218492,95999000,177638320,0
CA,"California State University, Fresno",32802107,52725317,91631000,177158424,170800000
