state,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment,code
AZ,Arizona State University,Arizona,63533137,112906424,197920000,374359561,922000000,108100
FL,Miami Dade College,Florida,49074737,100313671,175095000,324483408,486000000,150600
FL,University Of Central Florida,Florida,51071250,88785992,155326000,295183242,162000000,395400
PA,Pennsylvania State University (The),Pennsylvania,54994846,84967674,149782000,289744520,4000000000,332900
NJ,"Rutgers, The State University Of New Jersey",New Jersey,54160640,83956947,147525000,285642587,1476000000,262900
IN,Ivy Tech Community College Of Indiana,Indiana,33040571,87521884,154176000,274738455,0,991700
GA,Georgia State University,Georgia,45243852,81991625,143227000,270462477,0,157400
CA,"California State University, Northridge",California,44652328,74004088,128804000,247460416,119000000,115300
FL,Florida International University,Florida,38301957,70899027,124068000,233268984,218700000,963500
CA,"California State University, Fullerton",California,41021512,67736949,118108000,226866461,81700000,113700
CA,"California State University, Long Beach",California,41729439,67421424,117424000,226574863,79400000,113900
OH,Ohio State University (The),Ohio,42885215,65158493,115136000,223179708,5290000000,309000
TX,Texas A&M University,Texas,39816443,61084220,108020000,208920663,13514528000,363200
CA,"California State University, Los Angeles",California,37914166,61905561,107504000,207323727,46200000,114000
TX,University Of Houston,Texas,36703283,61804527,108166000,206673810,960000000,365200
TX,Houston Community College,Texas,28294391,64722987,113378000,206395378,10200000,1063300
WA,University Of Washington - Seattle,Washington,39715956,59684404,105672000,205072360,6000000000,379800
TX,Lone Star College System,Texas,28823255,63217876,111568000,203609131,0,1114500
CA,California State University - Sacramento,California,35734362,59891260,104257000,199882622,51200000,115000
FL,University Of South Florida,Florida,34839748,58187541,102066000,195093289,532000000,153700
TX,University Of Texas - Rio Grande Valley,Texas,34334258,58007276,100923000,193264534,46130000,359900
FL,Valencia College,Florida,27682203,59512739,104037000,191231942,72500000,675000
FL,Broward College,Florida,27154901,58986552,103056000,189197453,62200000,150000
CA,"University Of California, Irvine",California,36731629,54737221,95771000,187239850,1030000000,131400
CA,"University Of California, Los Angeles",California,35906870,52623807,92570000,181100677,5390000000,131500
CA,"University Of California, San Diego",California,34889769,52015747,91170000,178075516,2300000000,131700
