amount,venue,address,city,city_id,state,state_full,zip,type,inst_id
994989.50,"Alaska Center for the Performing Arts, Inc. ",621 W 6th Avenue ,Anchorage,1,AK,Alaska,99501,Live venue operator or promoter,1
8577.83,Alaska Chamber Singers ,8240 Sandlewood Pl Ste 201,Anchorage,1,AK,Alaska,99508,Live performing arts organization operator,2
7284.72,Alaska Dance Promotions LLC ,"300 East Dimond Blvd., Suite 11A ",Anchorage,1,AK,Alaska,99507,Live venue operator or promoter,3
141631.76,"Alaska Junior Theater, Inc. ",430 W. 7th Ave Ste 30 ,Anchorage,1,AK,Alaska,99501,Live performing arts organization operator,4
74058.02,Alaska Native Heritage Center ,8800 Heritage Center Drive ,Anchorage,1,AK,Alaska,99504,Museum Operator,5
74834.55,"Alaska Naturally, Incorporated ",4101 Patricia Lane,Anchorage,1,AK,Alaska,99504,Motion picture theater operator,6
1750608.68,Anchorage Concert Association Inc. ,430 W. 7th Ave. Ste. 200 ,Anchorage,1,AK,Alaska,99501,Live performing arts organization operator,7
558884.15,Anchorage Museum Association ,625 C Street ,Anchorage,1,AK,Alaska,99501,Museum Operator,8
81297.43,Anchorage Opera Company ,1507 Spar Ave ,Anchorage,1,AK,Alaska,99501,Live performing arts organization operator,9
180841.70,Anchorage Symphony Orchestra ,"400 D Street, Suite 230 ",Anchorage,1,AK,Alaska,99501,Live venue operator or promoter,10
44385.40,Anchorage Youth Symphony Assoc. (dba: Alaska Youth Orchestras) ,1505 W. 32nd Ave. ,Anchorage,1,AK,Alaska,99503,Live performing arts organization operator,11
81255.15,Cyrano's Theatre Company ,3800 Debarr Road ,Anchorage,1,AK,Alaska,99508,Live performing arts organization operator,12
1015623.10,"Fish or Cut Bait, LLC ",609 F Street ,Anchorage,1,AK,Alaska,99501,Live venue operator or promoter,13
26929.83,"Five Star Entertainment, Inc. ",4061 Westland Dr ,Anchorage,1,AK,Alaska,99517,Talent representative,14
927325.80,Happy Camp LLC ,2435 Spenard Road ,Anchorage,1,AK,Alaska,99503,Live venue operator or promoter,15
34111.83,Northern Culture Exchange ,"645 G Street, Suite 100-866 ",Anchorage,1,AK,Alaska,99501,Live performing arts organization operator,16
114416.03,Rodeo Alaska LLC ,2551 Lyvona Lane ,Anchorage,1,AK,Alaska,99502,Live venue operator or promoter,17
96007.91,Showdown LLC ,900 E 6th Ave ,Anchorage,1,AK,Alaska,99501,Live venue operator or promoter,18
103743.00,"TBA Theatre, Inc. ",TBA Theatre 635 W 54th ave,Anchorage,1,AK,Alaska,99518,Theatrical producer,19
58154.85,University of Alaska Anchorage ,3211 Providence Drive ,Anchorage,1,AK,Alaska,99508,Live venue operator or promoter,20
47505.60,Bethel Council on the Arts ,PO Box 264 1350 Aurora,Bethel,2,AK,Alaska,99559,Live venue operator or promoter,21
222001.80,Chickenstock Music Festival Inc. ,Milepost 66 Taylor Highway POB 64,Chicken,3,AK,Alaska,99732,Live venue operator or promoter,22
118004.06,Perseverance Theatre Incorporated ,914 3rd St ,Douglas,4,AK,Alaska,99824,Live performing arts organization operator,23
84061.32,Fairbanks Concert Association ,P.O. Box 80547 ,Fairbanks,5,AK,Alaska,99708,Live performing arts organization operator,24
10700.13,Fairbanks Shakespeare Theatre ,P. O. Box 73447,Fairbanks,5,AK,Alaska,99707,Live performing arts organization operator,25
747882.75,University of Alaska Fairbanks ,PO Box 755140 ,Fairbanks,5,AK,Alaska,99775,Museum Operator,26
85452.05,American Bald Eagle Foundation ,"113 Haines Hwy, ",Haines,6,AK,Alaska,99827,Museum Operator,27
169859.00,Homer Theatre LLC ,106 W Pioneer ,Homer,7,AK,Alaska,99603,Motion picture theater operator,28
31385.70,Gold Town Theater ,171 Shattuck Way suite 109,Juneau,8,AK,Alaska,99801,Motion picture theater operator,29
1215001.00,"Gross-Alaska, Inc. ",222 FRONT STREET SUITE 600,Juneau,8,AK,Alaska,99801,Motion picture theater operator,30
